,PlannedDate,Picks Karton,Picks Stangen,Picks Paletten,PickDurationMinutes_Karton,PickDurationSeconds_Karton,PickDurationMinutes_Stangen,PickDurationSeconds_Stangen,PickDurationMinutes_Palette,PickDurationSeconds_Palette,PickDurationMinutes_Other,PicksPerMinute_Karton,PicksPerSeconds_Karton,PicksPerMinute_Palette,PicksPerSeconds_Palette,PicksPerMinute_Stangen,PicksPerSeconds_Stangen,Packtag,Wochentag,Woche,Monat,Auswahl
185,01.06.2023,2227.0,148.0,61.0,1249.4666666666667,74968.0,97.8,5868.0,183.85,11031.0,0.0,1.7823604738021555,0.029706007896702594,0.33179222192004354,0.005529870365334058,1.5132924335378324,0.025221540558963872,01.06.2023,Thursday,22.2023,06.2023,False
186,02.06.2023,2062.0,414.0,40.0,1268.2333333333333,76094.0,198.71666666666667,11923.0,109.83333333333334,6590.0,0.0,1.6258837753305122,0.027098062922175203,0.36418816388467373,0.006069802731411229,2.0833682797953537,0.03472280466325589,02.06.2023,Friday,22.2023,06.2023,False
187,05.06.2023,2669.0,729.0,79.0,1576.0333333333333,94562.0,244.58333333333331,14675.0,176.5,10590.0,0.0,1.6934921004208878,0.028224868340348132,0.4475920679886686,0.007459867799811143,2.9805792163543443,0.049676320272572405,05.06.2023,Monday,23.2023,06.2023,False
188,06.06.2023,2862.0,1514.0,111.0,1746.05,104763.0,579.05,34743.0,180.81666666666666,10849.0,0.0,1.639128318203946,0.027318805303399103,0.613881463729376,0.010231357728822933,2.6146274069596753,0.043577123449327924,06.06.2023,Tuesday,23.2023,06.2023,False
189,07.06.2023,2051.0,94.0,58.0,1346.65,80799.0,71.56666666666666,4294.0,113.7,6822.0,0.0,1.5230386514684586,0.025383977524474313,0.5101143359718557,0.008501905599530929,1.3134606427573359,0.021891010712622262,07.06.2023,Wednesday,23.2023,06.2023,False
190,09.06.2023,1880.0,789.0,56.0,1165.1666666666667,69910.0,318.81666666666666,19129.0,115.78333333333333,6947.0,2.1,1.6135030753826347,0.026891717923043915,0.4836620123794444,0.008061033539657406,2.4747765173297087,0.04124627528882848,09.06.2023,Friday,23.2023,06.2023,False
191,12.06.2023,2246.0,476.0,71.0,1408.3333333333333,84500.0,174.08333333333334,10445.0,192.66666666666669,11560.0,0.0,1.594792899408284,0.026579881656804735,0.3685121107266436,0.006141868512110727,2.7343226424126374,0.045572044040210626,12.06.2023,Monday,24.2023,06.2023,False
192,13.06.2023,2138.0,893.0,46.0,1314.6,78876.0,336.05,20163.0,104.05,6243.0,0.0,1.626350220599422,0.027105837009990363,0.4420951465641519,0.007368252442735864,2.657342657342657,0.04428904428904429,13.06.2023,Tuesday,24.2023,06.2023,False
193,14.06.2023,1826.0,1269.0,63.0,1121.8833333333332,67313.0,557.1666666666666,33430.0,155.08333333333334,9305.0,0.0,1.6276202219482123,0.027127003699136867,0.40623320795271356,0.00677055346587856,2.2775949745737365,0.0379599162428956,14.06.2023,Wednesday,24.2023,06.2023,False
194,15.06.2023,737.0,268.0,49.0,437.8833333333333,26273.0,96.31666666666666,5779.0,106.81666666666666,6409.0,0.0,1.6830967152590113,0.02805161192098352,0.4587299110625683,0.007645498517709471,2.7824883197785084,0.046374805329641805,15.06.2023,Thursday,24.2023,06.2023,False
195,16.06.2023,2123.0,727.0,72.0,1389.5,83370.0,286.9166666666667,17215.0,83.7,5022.0,48.416666666666664,1.5278877293990645,0.025464795489984406,0.8602150537634409,0.014336917562724014,2.533836770258495,0.04223061283764159,16.06.2023,Friday,24.2023,06.2023,False
196,19.06.2023,2557.0,445.0,111.0,1598.65,95919.0,133.96666666666667,8038.0,135.76666666666665,8146.0,6.55,1.5994745566571793,0.026657909277619657,0.8175791799656273,0.013626319666093789,3.321721821348594,0.0553620303558099,19.06.2023,Monday,25.2023,06.2023,False
197,20.06.2023,1923.0,1012.0,76.0,1448.7666666666667,86926.0,376.45,22587.0,101.88333333333333,6113.0,6.85,1.3273358948991096,0.02212226491498516,0.7459512514313759,0.012432520857189596,2.6882720148758135,0.04480453358126356,20.06.2023,Tuesday,25.2023,06.2023,False
198,21.06.2023,2099.0,373.0,104.0,1365.65,81939.0,152.65,9159.0,162.9,9774.0,8.583333333333334,1.5369970343792332,0.025616617239653888,0.6384284837323511,0.010640474728872518,2.4434981984932853,0.04072496997488809,21.06.2023,Wednesday,25.2023,06.2023,False
199,22.06.2023,3006.0,296.0,111.0,1617.95,97077.0,91.23333333333333,5474.0,112.71666666666667,6763.0,9.483333333333334,1.8579066102166322,0.030965110170277203,0.9847700724530534,0.016412834540884224,3.2444282060650345,0.05407380343441724,22.06.2023,Thursday,25.2023,06.2023,False
200,26.06.2023,2281.0,1358.0,119.0,2029.4333333333334,121766.0,685.1333333333333,41108.0,423.91666666666663,25435.0,49.91666666666667,1.1239590690340489,0.01873265115056748,0.2807155494397484,0.004678592490662473,1.9820959423956408,0.03303493237326068,26.06.2023,Monday,26.2023,06.2023,False
201,27.06.2023,2175.0,1126.0,37.0,1570.2333333333333,94214.0,411.3,24678.0,132.2,7932.0,0.0,1.385144458360753,0.02308574097267922,0.27987897125567324,0.004664649520927887,2.7376610746413808,0.04562768457735635,27.06.2023,Tuesday,26.2023,06.2023,False
202,28.06.2023,2380.0,647.0,93.0,1458.3833333333332,87503.0,276.3666666666667,16582.0,242.81666666666666,14569.0,0.4166666666666667,1.6319440476326528,0.02719906746054421,0.3830050106390281,0.0063834168439838015,2.341092751175974,0.03901821251959957,28.06.2023,Wednesday,26.2023,06.2023,False
203,29.06.2023,895.0,189.0,32.0,582.7833333333333,34967.0,85.53333333333333,5132.0,67.53333333333333,4052.0,0.0,1.5357336917665227,0.025595561529442045,0.4738400789733465,0.007897334649555774,2.209664848012471,0.03682774746687451,29.06.2023,Thursday,26.2023,06.2023,False
204,30.06.2023,1667.0,742.0,30.0,967.0,58020.0,293.31666666666666,17599.0,30.633333333333333,1838.0,0.0,1.7238883143743537,0.028731471906239228,0.9793253536452666,0.01632208922742111,2.5296891868856184,0.042161486448093644,30.06.2023,Friday,26.2023,06.2023,False
